Date,prediction,fact
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,0.0,-0.14543533197962488
2021-01-04,0.0,-0.012178786964862033
2021-01-05,0.0,-0.0003417044757635032
2021-01-06,0.0,0.0
2021-01-07,0.0,-0.1290860687795147
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,-0.2765058563638596
2021-01-11,-0.0415445785241568,-0.8953522967972587
2021-01-12,-0.20034271303051834,-0.18433723757590625
2021-01-13,0.13619298026998822,-0.18433723757590625
2021-01-14,0.1007504759603208,-0.6978481136802164
2021-01-15,-0.34943928334332147,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,-0.8295175690915784
2021-01-18,-0.2971568596214155,-0.3818414206929488
2021-01-19,-0.08943820123438512,-0.17117029203476997
2021-01-20,-0.08833429589382384,-0.3818414206929488
2021-01-21,-0.12771937174902073,-0.671514222597944
2021-01-22,-0.23405046732442045,-0.02735913665355496
2021-01-23,0.0,0.0
2021-01-24,0.0,-1.2640267719490716
2021-01-25,-0.14454766365946653,-0.3686744751518125
2021-01-26,-0.06823417958868805,-0.17117029203476997
2021-01-27,-0.127976795856577,0.27650585636385916
2021-01-28,-0.10597516078656974,-0.4081753117752207
2021-01-29,-0.041449230562138256,0.0
2021-01-30,0.0,0.0
2021-01-31,0.0,-0.4476761483986298
2021-02-01,-0.21709070039974623,-0.39500836623408486
2021-02-02,-0.21395772646960912,-0.4740100394809017
2021-02-03,-0.27233652634787725,-0.3818414206929486
2021-02-04,-0.20559055431152393,-0.06583472770568055
2021-02-05,-0.07855186357224116,0.0
2021-02-06,0.0,0.0
2021-02-07,0.0,-0.7900167324681695
2021-02-08,-0.3223633949850584,-0.5135108761043101
2021-02-09,-0.34014609314601746,0.2238380741993149
2021-02-10,-0.21306286488621026,-0.13166945541136155
2021-02-11,-0.177128947393643,-0.3423405840695404
2021-02-12,-0.33682112376390944,0.0
2021-02-13,0.0,0.0
2021-02-14,0.0,-0.28967280190499567
2021-02-15,-0.14318079704327408,-0.23700501974045118
2021-02-16,-0.07516124553218263,-0.18433723757590625
2021-02-17,-0.14198356275191826,-0.4740100394809019
2021-02-18,-0.1663164507768754,-0.487176985022038
2021-02-19,-0.1584422446783384,-0.2765058563638596
2021-02-20,0.0,0.0
2021-02-21,0.0,-0.009718351083448599
2021-02-22,0.0,0.0
2021-02-23,0.0,-0.8821853512561231
2021-02-24,-0.3767499959134476,-0.5266778216454462
2021-02-25,-0.25902389044153806,-0.355507529610676
2021-02-26,-0.21775404825769665,0.0
2021-02-27,0.0,0.0
2021-02-28,0.0,-0.8821853512561226
2021-03-01,-0.28001704184149573,-0.4476761483986298
2021-03-02,-0.16747419899397897,-0.23700501974045096
2021-03-03,-0.16109708473850606,0.013166945541136066
2021-03-04,-0.060937560299890205,0.01316694554113651
2021-03-05,-0.07179784599503924,0.0
2021-03-06,0.0,0.0
2021-03-07,0.0,-1.6071442058055386e-05
2021-03-08,0.0,-1.2508598264079351
2021-03-09,-0.34597996303254513,0.02633389108227213
2021-03-10,-0.20729044972320387,-0.316006692987268
2021-03-11,-0.15938669278683804,-0.5398447671865823
2021-03-12,-0.1991633714750208,0.0
2021-03-13,0.0,0.0
2021-03-14,0.0,-0.6188464404333995
2021-03-15,-0.33326920752703126,-0.5135108761043101
2021-03-16,-0.3296125367131086,-0.40817531177522093
2021-03-17,-0.19750418311704246,-0.46084309393976586
2021-03-18,-0.24496715254027338,-0.5925125493511274
2021-03-19,-0.14672817243868633,0.0
2021-03-20,0.0,0.0
2021-03-21,0.0,-0.8163506235504419
2021-03-22,-0.250266129464032,0.0921686187879529
2021-03-23,-0.15054644087940913,-0.5925125493511272
2021-03-24,-0.2059545002350616,-0.869018405714987
2021-03-25,-0.2568241544337287,-2.514886598357007
2021-03-26,-0.06708598113050339,0.0
2021-03-27,0.0,0.0
2021-03-28,0.0,-1.0138548066674846
2021-03-29,-0.6033852950898926,-0.250171965281587
2021-03-30,-0.019692965506818462,0.0
